date,gender,city,category,age_rate,count,avg_age,mid_age,crude_rate
2017/5/1,不分縣市,新北市,住宅部門售電量(度),578203213,578203213,578203213,578203213,578203213
2017/5/1,不分縣市,台北市,住宅部門售電量(度),389015245,389015245,389015245,389015245,389015245
2017/5/1,不分縣市,桃園市,住宅部門售電量(度),288813899,288813899,288813899,288813899,288813899
2017/5/1,不分縣市,台中市,住宅部門售電量(度),400781054,400781054,400781054,400781054,400781054
2017/5/1,不分縣市,台南市,住宅部門售電量(度),265316582,265316582,265316582,265316582,265316582
2017/5/1,不分縣市,高雄市,住宅部門售電量(度),444464283,444464283,444464283,444464283,444464283
2017/5/1,不分縣市,宜蘭縣,住宅部門售電量(度),58860061,58860061,58860061,58860061,58860061
2017/5/1,不分縣市,新竹縣,住宅部門售電量(度),72252841,72252841,72252841,72252841,72252841
2017/5/1,不分縣市,苗栗縣,住宅部門售電量(度),69893267,69893267,69893267,69893267,69893267
2017/5/1,不分縣市,彰化縣,住宅部門售電量(度),165855353,165855353,165855353,165855353,165855353
2017/5/1,不分縣市,南投縣,住宅部門售電量(度),55672906,55672906,55672906,55672906,55672906
2017/5/1,不分縣市,雲林縣,住宅部門售電量(度),99875121,99875121,99875121,99875121,99875121
2017/5/1,不分縣市,嘉義縣,住宅部門售電量(度),66239319,66239319,66239319,66239319,66239319
2017/5/1,不分縣市,屏東縣,住宅部門售電量(度),122321178,122321178,122321178,122321178,122321178
2017/5/1,不分縣市,台東縣,住宅部門售電量(度),25564827,25564827,25564827,25564827,25564827
2017/5/1,不分縣市,花蓮縣,住宅部門售電量(度),41273506,41273506,41273506,41273506,41273506
2017/5/1,不分縣市,基隆市,住宅部門售電量(度),45498561,45498561,45498561,45498561,45498561
2017/5/1,不分縣市,新竹市,住宅部門售電量(度),67631578,67631578,67631578,67631578,67631578
2017/5/1,不分縣市,嘉義市,住宅部門售電量(度),37336586,37336586,37336586,37336586,37336586
2017/5/1,不分縣市,澎湖縣,住宅部門售電量(度),12571817,12571817,12571817,12571817,12571817
2017/5/1,不分縣市,金門縣,住宅部門售電量(度),7436923,7436923,7436923,7436923,7436923
2017/5/1,不分縣市,連江縣,住宅部門售電量(度),968191,968191,968191,968191,968191
2017/4/1,不分縣市,新北市,住宅部門售電量(度),551218291,551218291,551218291,551218291,551218291
2017/4/1,不分縣市,台北市,住宅部門售電量(度),357448261,357448261,357448261,357448261,357448261
2017/4/1,不分縣市,桃園市,住宅部門售電量(度),332687625,332687625,332687625,332687625,332687625
2017/4/1,不分縣市,台中市,住宅部門售電量(度),372989503,372989503,372989503,372989503,372989503
2017/4/1,不分縣市,台南市,住宅部門售電量(度),246129062,246129062,246129062,246129062,246129062
2017/4/1,不分縣市,高雄市,住宅部門售電量(度),317405424,317405424,317405424,317405424,317405424
2017/4/1,不分縣市,宜蘭縣,住宅部門售電量(度),57820811,57820811,57820811,57820811,57820811
2017/4/1,不分縣市,新竹縣,住宅部門售電量(度),79338625,79338625,79338625,79338625,79338625
2017/4/1,不分縣市,苗栗縣,住宅部門售電量(度),58779418,58779418,58779418,58779418,58779418
2017/4/1,不分縣市,彰化縣,住宅部門售電量(度),159945411,159945411,159945411,159945411,159945411
2017/4/1,不分縣市,南投縣,住宅部門售電量(度),65730240,65730240,65730240,65730240,65730240
